la_code,la_name,date_code,measurement,units,age,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,A 5 minute walk or less,Within a 6-10 minute walk,An 11 minute walk or more,Don't Know
S12000048,Perth and Kinross,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,76,12,13,NA
S12000048,Perth and Kinross,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,76,12,12,0
S12000030,Stirling,2014,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,83,11,5,1
S12000048,Perth and Kinross,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,72,16,12,NA
S12000029,South Lanarkshire,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,56,25,18,2
S12000005,Clackmannanshire,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,79,12,9,0
S12000005,Clackmannanshire,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,62,27,9,2
S12000005,Clackmannanshire,2013,Percent,Percent Of Adults,All,Female,All,All,All,All,All,68,21,10,1
S12000029,South Lanarkshire,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,60,18,20,1
S12000034,Aberdeenshire,2015,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,61,17,19,3
S12000034,Aberdeenshire,2015,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,72,13,13,2
S12000034,Aberdeenshire,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,71,9,20,0
S12000029,South Lanarkshire,2016,Percent,Percent Of Adults,All,Female,All,All,All,All,All,61,14,23,2
S12000029,South Lanarkshire,2016,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,51,17,29,3
S12000038,Renfrewshire,2014,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,65,21,13,1
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,47,29,22,3
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,Female,All,All,All,All,All,60,23,16,1
S12000029,South Lanarkshire,2015,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,59,25,15,1
S12000048,Perth and Kinross,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,75,13,12,1
S12000030,Stirling,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,11,12,1
S12000029,South Lanarkshire,2016,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,66,17,17,NA
S12000011,East Renfrewshire,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,62,21,17,NA
S12000048,Perth and Kinross,2015,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,76,14,10,NA
S12000038,Renfrewshire,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,54,26,17,3
S12000030,Stirling,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,81,17,1,1
S12000030,Stirling,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,85,11,4,1
S12000047,Fife,2013,Percent,Percent Of Adults,All,All,All,All,All,All,All,78,12,8,2
S12000034,Aberdeenshire,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,72,13,13,1
S12000034,Aberdeenshire,2015,Percent,Percent Of Adults,All,Female,All,All,All,All,All,75,9,14,1
S12000026,Scottish Borders,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,74,19,6,NA
S12000039,West Dunbartonshire,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,49,30,15,6
S12000026,Scottish Borders,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,74,20,5,1
S12000039,West Dunbartonshire,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,44,34,16,6
S12000047,Fife,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,78,12,7,3
S12000047,Fife,2013,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,77,13,9,1
S12000026,Scottish Borders,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,82,13,4,1
S12000026,Scottish Borders,2017,Percent,Percent Of Adults,All,Male,All,All,All,All,All,74,20,4,2
S12000023,Orkney Islands,2017,Percent,Percent Of Adults,All,Male,All,All,All,All,All,70,4,26,1
S12000018,Inverclyde,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,72,10,18,NA
S12000019,Midlothian,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,15,8,0
S12000028,South Ayrshire,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,76,19,6,NA
S12000050,North Lanarkshire,2017,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,71,18,10,1
S12000023,Orkney Islands,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,75,8,16,1
S12000023,Orkney Islands,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,69,9,21,1
S12000048,Perth and Kinross,2013,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,69,15,16,NA
S12000026,Scottish Borders,2017,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,17,6,1
S12000036,City of Edinburgh,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,73,21,5,1
S12000040,West Lothian,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,54,21,23,2
S12000047,Fife,2013,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,79,11,9,2
S12000047,Fife,2013,Percent,Percent Of Adults,All,Male,All,All,All,All,All,77,14,8,1
S12000048,Perth and Kinross,2015,Percent,Percent Of Adults,All,Female,All,All,All,All,All,59,20,21,NA
S12000048,Perth and Kinross,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,67,16,16,0
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,70,13,16,1
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,Male,All,All,All,All,All,60,19,19,1
S12000048,Perth and Kinross,2015,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,51,20,28,1
S12000050,North Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,60,23,17,0
S12000050,North Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,60,26,11,3
S12000026,Scottish Borders,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,78,17,4,0
S12000038,Renfrewshire,2013,Percent,Percent Of Adults,All,All,All,All,All,All,All,70,21,7,1
S12000034,Aberdeenshire,2019,Percent,Percent Of Adults,All,All,All,All,All,All,All,63,14,22,1
S12000049,Glasgow City,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,50,30,17,3
S12000017,Highland,2016,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,78,12,10,0
S12000028,South Ayrshire,2016,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,81,11,8,1
S12000029,South Lanarkshire,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,49,24,23,5
S12000050,North Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,64,20,16,1
S12000030,Stirling,2017,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,74,12,12,2
S12000050,North Lanarkshire,2015,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,64,22,11,2
S12000008,East Ayrshire,2016,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,66,20,13,1
S12000023,Orkney Islands,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,61,7,29,3
S12000013,Na h-Eileanan Siar,2016,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,82,6,10,2
S12000013,Na h-Eileanan Siar,2016,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,76,9,14,1
S12000028,South Ayrshire,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,77,13,10,1
S12000008,East Ayrshire,2016,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,72,17,10,1
S12000011,East Renfrewshire,2016,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,52,28,19,2
S12000038,Renfrewshire,2013,Percent,Percent Of Adults,All,Female,All,All,All,All,All,67,22,10,1
S12000050,North Lanarkshire,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,64,22,10,3
S12000049,Glasgow City,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,51,32,14,3
S12000033,Aberdeen City,2016,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,59,23,17,1
S12000033,Aberdeen City,2016,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,57,12,26,4
S12000033,Aberdeen City,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,60,20,19,1
S12000027,Shetland Islands,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,75,7,17,1
S12000050,North Lanarkshire,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,58,23,17,1
S12000045,East Dunbartonshire,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,64,24,12,1
S12000026,Scottish Borders,2015,Percent,Percent Of Adults,All,Male,All,All,All,All,All,86,10,3,1
S12000026,Scottish Borders,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,83,11,4,2
S12000026,Scottish Borders,2016,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,77,13,8,2
S12000026,Scottish Borders,2016,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,81,15,4,NA
S12000026,Scottish Borders,2015,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,86,9,3,2
S12000018,Inverclyde,2016,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,60,25,12,3
S12000023,Orkney Islands,2016,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,68,16,14,2
S12000026,Scottish Borders,2015,Percent,Percent Of Adults,All,Female,All,All,All,All,All,80,12,6,2
S12000033,Aberdeen City,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,62,18,20,1
S12000035,Argyll and Bute,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,67,17,12,4
S12000026,Scottish Borders,2015,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,82,13,4,1
S12000048,Perth and Kinross,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,74,13,11,2
S12000033,Aberdeen City,2016,Percent,Percent Of Adults,All,Female,All,All,All,All,All,63,16,20,2
S12000023,Orkney Islands,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,74,10,13,2
S12000042,Dundee City,2018,Percent,Percent Of Adults,All,Male,All,All,All,All,All,49,28,19,4
S12000045,East Dunbartonshire,2017,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,59,17,19,5
S12000049,Glasgow City,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,58,27,14,1
S12000028,South Ayrshire,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,67,22,10,1
S12000029,South Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,All,All,All,All,64,21,14,1
S12000026,Scottish Borders,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,81,11,6,2
S12000023,Orkney Islands,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,89,8,3,0
S12000042,Dundee City,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,51,20,20,9
S12000033,Aberdeen City,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,64,18,17,NA
S12000013,Na h-Eileanan Siar,2015,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,74,11,13,1
S12000026,Scottish Borders,2013,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,77,16,6,1
S12000048,Perth and Kinross,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,75,15,10,NA
S12000030,Stirling,2017,Percent,Percent Of Adults,All,Female,All,All,All,All,All,81,10,8,1
S12000030,Stirling,2017,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,86,11,2,1
S12000050,North Lanarkshire,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,64,20,14,2
S12000048,Perth and Kinross,2013,Percent,Percent Of Adults,All,All,All,All,All,All,All,75,12,11,2
S12000050,North Lanarkshire,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,58,24,17,1
S12000050,North Lanarkshire,2017,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,52,21,24,3
S12000029,South Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,62,16,22,0
S12000035,Argyll and Bute,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,68,17,9,6
S12000040,West Lothian,2018,Percent,Percent Of Adults,All,Female,All,All,All,All,All,56,18,25,1
S12000026,Scottish Borders,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,72,19,7,2
S12000026,Scottish Borders,2017,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,70,21,9,1
S12000048,Perth and Kinross,2013,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,86,8,5,1
S12000029,South Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,72,15,12,1
S12000050,North Lanarkshire,2015,Percent,Percent Of Adults,All,Male,All,All,All,All,All,68,18,11,2
S12000029,South Lanarkshire,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,70,19,9,2
S12000029,South Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,57,24,18,1
S12000050,North Lanarkshire,2015,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,68,14,18,NA
S12000029,South Lanarkshire,2013,Percent,Percent Of Adults,All,All,All,All,All,All,All,65,17,17,1
S12000029,South Lanarkshire,2013,Percent,Percent Of Adults,All,Male,All,All,All,All,All,64,20,15,1
S12000050,North Lanarkshire,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,52,29,19,0
S12000028,South Ayrshire,2017,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,76,19,4,NA
S12000013,Na h-Eileanan Siar,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,76,13,10,0
S12000050,North Lanarkshire,2017,Percent,Percent Of Adults,All,Male,All,All,All,All,All,57,24,17,1
S12000048,Perth and Kinross,2014,Percent,Percent Of Adults,All,All,All,All,All,All,All,74,13,13,1
S12000029,South Lanarkshire,2013,Percent,Percent Of Adults,All,Female,All,All,All,All,All,65,15,19,1
S12000013,Na h-Eileanan Siar,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,60,24,16,0
S12000042,Dundee City,2016,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,39,28,32,2
S12000050,North Lanarkshire,2016,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,63,12,20,5
S12000021,North Ayrshire,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,66,16,15,3
S12000050,North Lanarkshire,2016,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,67,21,10,1
S12000026,Scottish Borders,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,85,12,3,1
S12000006,Dumfries and Galloway,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,60,20,20,1
S12000042,Dundee City,2016,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,48,27,22,3
S12000017,Highland,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,81,11,7,1
S12000027,Shetland Islands,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,73,6,20,1
S12000005,Clackmannanshire,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,71,25,3,1
S12000033,Aberdeen City,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,77,15,7,0
S12000029,South Lanarkshire,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,63,20,15,2
S12000027,Shetland Islands,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,80,8,11,1
S12000017,Highland,2015,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,79,14,7,0
S12000017,Highland,2015,Percent,Percent Of Adults,All,Female,All,All,All,All,All,75,16,8,1
S12000017,Highland,2014,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,61,15,18,6
S12000017,Highland,2015,Percent,Percent Of Adults,All,Male,All,All,All,All,All,88,7,5,0
S12000014,Falkirk,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,47,33,16,4
S12000014,Falkirk,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,63,22,15,0
S12000028,South Ayrshire,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,82,13,4,1
S12000013,Na h-Eileanan Siar,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,81,12,6,1
S12000017,Highland,2014,Percent,Percent Of Adults,All,Female,All,All,All,All,All,70,13,15,2
S12000029,South Lanarkshire,2014,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,66,18,14,3
S12000017,Highland,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,72,16,8,4
S12000040,West Lothian,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,42,27,31,1
S12000033,Aberdeen City,2018,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,62,18,18,2
S12000013,Na h-Eileanan Siar,2015,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,72,9,17,1
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,68,17,14,2
S12000014,Falkirk,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,57,17,25,0
S12000035,Argyll and Bute,2014,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,69,18,12,1
S12000030,Stirling,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,69,20,9,2
S12000029,South Lanarkshire,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,54,26,19,1
S12000041,Angus,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,69,15,13,3
S12000036,City of Edinburgh,2016,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,65,25,9,1
S12000035,Argyll and Bute,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,65,19,13,4
S12000017,Highland,2014,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,81,9,9,1
S12000028,South Ayrshire,2014,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,80,13,6,1
S12000027,Shetland Islands,2016,Percent,Percent Of Adults,All,All,All,80% least deprived,All,All,All,85,8,7,0
S12000017,Highland,2015,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,76,15,8,1
S12000033,Aberdeen City,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,58,15,22,5
S12000030,Stirling,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,82,10,7,1
S12000042,Dundee City,2016,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,58,18,23,1
S12000040,West Lothian,2017,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,46,18,34,2
S12000033,Aberdeen City,2014,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,79,14,5,1
S12000011,East Renfrewshire,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,57,20,22,1
S12000034,Aberdeenshire,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,65,21,12,2
S12000011,East Renfrewshire,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,47,21,31,1
S12000013,Na h-Eileanan Siar,2015,Percent,Percent Of Adults,All,All,All,All,All,All,All,74,11,13,1
S12000014,Falkirk,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,46,28,25,1
S12000038,Renfrewshire,2018,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,61,21,15,3
S12000018,Inverclyde,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,66,14,19,1
S12000030,Stirling,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,79,12,8,0
S12000014,Falkirk,2016,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,60,30,9,1
S12000029,South Lanarkshire,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,60,23,15,2
S12000023,Orkney Islands,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,67,10,22,1
S12000040,West Lothian,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,56,24,18,1
S12000050,North Lanarkshire,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,65,19,14,2
S12000019,Midlothian,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,69,22,8,1
S12000035,Argyll and Bute,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,65,19,13,3
S12000036,City of Edinburgh,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,60,30,11,0
S12000017,Highland,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,77,13,10,1
S12000018,Inverclyde,2017,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,46,29,22,3
S12000017,Highland,2014,Percent,Percent Of Adults,16-34 years,All,All,All,All,All,All,81,14,4,2
S12000039,West Dunbartonshire,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,58,20,18,3
S12000018,Inverclyde,2014,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,42,26,30,1
S12000040,West Lothian,2017,Percent,Percent Of Adults,35-64 years,All,All,All,All,All,All,55,28,16,0
S12000010,East Lothian,2016,Percent,Percent Of Adults,All,Male,All,All,All,All,All,82,12,5,1
S12000010,East Lothian,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,83,11,6,1
S12000017,Highland,2014,Percent,Percent Of Adults,All,All,All,All,All,All,All,71,14,12,3
S12000017,Highland,2013,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,55,14,23,8
S12000038,Renfrewshire,2018,Percent,Percent Of Adults,All,All,All,All,All,Pensioners,All,36,37,23,4
S12000017,Highland,2016,Percent,Percent Of Adults,All,All,All,All,All,All,All,76,11,11,2
S12000030,Stirling,2014,Percent,Percent Of Adults,All,Male,All,All,All,All,All,86,10,3,0
S12000013,Na h-Eileanan Siar,2017,Percent,Percent Of Adults,All,All,All,All,All,All,All,63,24,13,0
S12000017,Highland,2014,Percent,Percent Of Adults,All,All,All,All,All,Adults,All,71,18,8,2
S12000013,Na h-Eileanan Siar,2015,Percent,Percent Of Adults,All,All,All,All,All,With Children,All,79,9,11,1
S12000026,Scottish Borders,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,74,21,4,1
S12000017,Highland,2014,Percent,Percent Of Adults,65 years and over,All,All,All,All,All,All,66,13,15,5
