indicator,sex,la_name,la_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
Alcohol-specific deaths,females,South Ayrshire,S12000028,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,6,9.65,3.42,21.19,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,South Lanarkshire,S12000029,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,20.8,12.09,7.45,18.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Stirling,S12000030,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.2,8.73,2.44,21.9,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Aberdeen City,S12000033,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12.2,11.86,6.14,20.65,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Aberdeenshire,S12000034,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,6.6,4.81,1.85,10.14,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Argyll and Bute,S12000035,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,4.8,9.3,2.79,22.28,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,City of Edinburgh,S12000036,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,24.2,11.12,7.11,16.56,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Renfrewshire,S12000038,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,13.2,14.18,7.56,24.2,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,West Dunbartonshire,S12000039,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7.6,15.65,6.52,31.44,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,West Lothian,S12000040,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,9.6,10.51,4.9,19.63,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Angus,S12000041,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,6,9.29,3.35,20.3,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Dundee City,S12000042,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.8,15.28,7.53,27.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Dunbartonshire,S12000045,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,2.4,3.79,0.56,12.42,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Fife,S12000047,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,20.4,10.56,6.47,16.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Perth and Kinross,S12000048,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8,9.9,4.21,19.6,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Glasgow City,S12000049,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,45.4,16.27,11.84,21.8,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,North Lanarkshire,S12000050,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,33.8,19.07,13.17,26.69,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Clackmannanshire,S12000005,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,3.2,11.43,2.44,32.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Dumfries and Galloway,S12000006,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7.4,8.81,3.53,18.01,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Ayrshire,S12000008,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,6.2,9.32,3.45,20.09,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Lothian,S12000010,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.2,7.37,2.05,18.5,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Renfrewshire,S12000011,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,3.8,7.41,1.89,19.43,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Na h-Eileanan Siar,S12000013,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,3.4,22.67,5.14,62.61,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Falkirk,S12000014,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,8.4,9.95,4.38,19.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Highland,S12000017,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,13.4,10.48,5.6,17.83,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Inverclyde,S12000018,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,6.6,15.08,5.77,31.84,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Midlothian,S12000019,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.8,10.51,3.27,24.97,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Moray,S12000020,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.6,8.89,2.68,21.47,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,North Ayrshire,S12000021,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,10.6,13.92,6.78,25.26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Orkney Islands,S12000023,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,1.2,9.91,0.25,49,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Scottish Borders,S12000026,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.6,6.95,2.06,16.87,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Shetland Islands,S12000027,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,0,0,0,0,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,South Ayrshire,S12000028,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,5,7.72,2.41,18.16,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,South Lanarkshire,S12000029,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,20,11.58,7.06,17.91,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Stirling,S12000030,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.2,8.62,2.41,21.63,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Aberdeen City,S12000033,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,11.2,10.85,5.44,19.32,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Aberdeenshire,S12000034,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7.2,5.17,2.1,10.56,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Argyll and Bute,S12000035,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,4.6,8.48,2.52,20.55,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,City of Edinburgh,S12000036,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,26.2,11.82,7.7,17.33,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Renfrewshire,S12000038,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,13.4,14.31,7.67,24.31,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,West Dunbartonshire,S12000039,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7.8,15.91,6.72,31.68,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,West Lothian,S12000040,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,10.8,11.72,5.76,21.14,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Angus,S12000041,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7,10.7,4.24,22.12,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Dundee City,S12000042,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,10.6,14.78,7.23,26.77,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Dunbartonshire,S12000045,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,3.2,5.04,1.08,14.28,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Fife,S12000047,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,25,12.98,8.38,19.19,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Perth and Kinross,S12000048,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7.4,8.99,3.68,18.23,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Glasgow City,S12000049,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,45,16.05,11.66,21.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,North Lanarkshire,S12000050,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,33.6,18.82,12.98,26.37,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Clackmannanshire,S12000005,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.4,11.9,2.71,32.82,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Dumfries and Galloway,S12000006,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6.8,8,3.06,16.83,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Ayrshire,S12000008,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.4,8.1,2.73,18.41,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Lothian,S12000010,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.8,6.66,1.69,17.47,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Renfrewshire,S12000011,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.8,7.23,1.84,18.97,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Na h-Eileanan Siar,S12000013,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.2,21.03,4.47,59.76,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Falkirk,S12000014,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,8,9.43,4.05,18.6,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Highland,S12000017,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,13.4,10.29,5.51,17.5,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Inverclyde,S12000018,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6.8,15.4,5.99,32.19,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Midlothian,S12000019,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6,12.73,4.63,27.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Moray,S12000020,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6,11.8,4.27,25.76,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,North Ayrshire,S12000021,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,13.2,17.03,9.05,29.1,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Orkney Islands,S12000023,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,1.2,10.01,0.24,49.5,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Scottish Borders,S12000026,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.6,8.29,2.85,18.61,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Shetland Islands,S12000027,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,0.2,1.62,0,33.15,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,South Ayrshire,S12000028,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,6,9.1,3.23,19.99,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,South Lanarkshire,S12000029,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,21.6,12.5,7.78,19.03,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Stirling,S12000030,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.8,7.68,1.96,20.14,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Aberdeen City,S12000033,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,13.4,12.92,6.93,21.95,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Aberdeenshire,S12000034,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,8.2,5.83,2.54,11.4,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Argyll and Bute,S12000035,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,5.8,10.92,3.76,24.33,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,City of Edinburgh,S12000036,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,26.8,11.85,7.76,17.31,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Renfrewshire,S12000038,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,14.4,15.26,8.4,25.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,West Dunbartonshire,S12000039,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,7.8,16.04,6.76,31.96,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,West Lothian,S12000040,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,10,10.92,5.2,20.13,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Angus,S12000041,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,7.4,11.21,4.59,22.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Dundee City,S12000042,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,11.2,15.68,7.84,27.96,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,East Dunbartonshire,S12000045,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,3.6,5.64,1.37,15.15,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Fife,S12000047,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,24.2,12.47,7.98,18.55,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Perth and Kinross,S12000048,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,9,10.87,4.93,20.69,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,Glasgow City,S12000049,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,45.8,16.35,11.91,21.87,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,females,North Lanarkshire,S12000050,Council area,2016,2014 to 2018 calendar years; 5-year aggregates,33,18.5,12.72,26,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Clackmannanshire,S12000005,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7,27.41,10.84,56.74,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Dumfries and Galloway,S12000006,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,11.8,14.33,7.28,25.25,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Ayrshire,S12000008,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,16.4,27.15,15.57,43.92,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Lothian,S12000010,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,9.8,20.03,9.43,37.19,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Renfrewshire,S12000011,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7.8,18.46,7.62,37.06,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Na h-Eileanan Siar,S12000013,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,7.2,44.97,18.18,91.99,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Falkirk,S12000014,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,17.2,22.34,12.99,35.76,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Highland,S12000017,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,38.2,31.27,22.08,42.97,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Inverclyde,S12000018,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,17.4,43.74,25.49,69.89,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Midlothian,S12000019,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8,18.79,8.05,37.08,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Moray,S12000020,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12.8,27.13,14.3,46.66,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,North Ayrshire,S12000021,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,15.8,23.92,13.37,39.3,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Orkney Islands,S12000023,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,3.8,31.35,7.84,82.53,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Scottish Borders,S12000026,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,11,17.18,8.49,30.85,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Shetland Islands,S12000027,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,1.8,14.15,1.29,54.3,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,South Ayrshire,S12000028,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12.4,21.35,11.06,37.11,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,South Lanarkshire,S12000029,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,48.8,31.57,23.27,41.84,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Stirling,S12000030,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,10.6,24.69,12.04,44.79,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Aberdeen City,S12000033,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,24.2,25.19,16.03,37.61,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Aberdeenshire,S12000034,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,14.8,11.21,6.21,18.6,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Argyll and Bute,S12000035,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12,25.76,13.11,45.28,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,City of Edinburgh,S12000036,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,49.8,24.48,18.05,32.43,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Renfrewshire,S12000038,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,27.6,33.43,22.06,48.56,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,West Dunbartonshire,S12000039,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,16,37.66,21.31,61.45,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,West Lothian,S12000040,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,19.4,23.5,14.1,36.71,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Angus,S12000041,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,12.4,20.29,10.53,35.25,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Dundee City,S12000042,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,25.6,40.66,26.38,59.85,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Dunbartonshire,S12000045,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,8.8,16.44,7.36,31.52,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Fife,S12000047,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,35.8,19.9,13.88,27.62,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Perth and Kinross,S12000048,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,16.4,21.36,12.22,34.61,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Glasgow City,S12000049,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,129.8,53.27,44.32,63.47,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,North Lanarkshire,S12000050,Council area,2014,2012 to 2016 calendar years; 5-year aggregates,62.6,40.01,30.61,51.37,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Clackmannanshire,S12000005,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7.2,28,11.26,57.39,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Dumfries and Galloway,S12000006,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,12.2,14.72,7.56,25.73,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Ayrshire,S12000008,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,16.6,27.35,15.74,44.14,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Lothian,S12000010,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,11,22.03,10.9,39.54,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,East Renfrewshire,S12000011,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7.8,18.29,7.58,36.67,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Na h-Eileanan Siar,S12000013,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,7,44.29,17.53,91.63,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
Alcohol-specific deaths,males,Falkirk,S12000014,Council area,2015,2013 to 2017 calendar years; 5-year aggregates,17.8,22.95,13.49,36.43,"Age-sex standardised rate per 100,000",National Records of Scotland (NRS)
