la_code,la_name,date_code,measurement,units,value,scottish_health_survey_indicator,sex
S12000047,Fife,2015-2018,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,27,General health questionnaire (GHQ-12): Score 1-3,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,58,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,23,Fruit & vegetable consumption: 5 portions or more,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,9,E-cigarette use: Currently using,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,75,Self-assessed general health: Very good/Good,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,39,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,78,Fruit & vegetable consumption: Less than 5 portions,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,21,Self-assessed general health: Fair,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,59,General health questionnaire (GHQ-12): Score 0,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,24,Summary activity levels: Very low activity,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,37,Long-term illness: Limiting long-term illness,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,35,Obesity: Obese,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,56,General health questionnaire (GHQ-12): Score 0,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,6,E-cigarette use: Currently using,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,17,Smoking status: Current smoker,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,18,Alcohol consumption: Non-drinker,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,65,Overweight: Overweight (including obese),Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,6,E-cigarette use: Currently using,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,59,General health questionnaire (GHQ-12): Score 0,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,21,Self-assessed general health: Fair,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,10,Fruit & vegetable consumption: None,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,66,Overweight: Overweight (including obese),Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,19,Alcohol consumption: Non-drinker,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,11,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,56,Summary activity levels: Meets recommendations,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,17,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,71,Self-assessed general health: Very good/Good,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,11,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,11,Long-term illness: Non-limiting long-term illness,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,23,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,59,Summary activity levels: Meets recommendations,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,71,Obesity: Not obese,Female
S12000029,South Lanarkshire,2015-2018,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,18,General health questionnaire (GHQ-12): Score 4+,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,67,Self-assessed general health: Very good/Good,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,42,Long-term illness: No long-term illness,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,57,Summary activity levels: Meets recommendations,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,28,Summary activity levels: Very low activity,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,47,Long-term illness: Limiting long-term illness,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,16,Smoking status: Current smoker,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,18,Alcohol consumption: Non-drinker,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,3,Summary activity levels: Low activity,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,75,Fruit & vegetable consumption: Less than 5 portions,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,10,Long-term illness: Non-limiting long-term illness,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,11,Self-assessed general health: Bad/Very bad,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,56,General health questionnaire (GHQ-12): Score 0,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,71,Obesity: Not obese,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,24,Self-assessed general health: Fair,Female
S12000029,South Lanarkshire,2016-2019,Percent,Percent Of Adults,17,Smoking status: Current smoker,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,20,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,60,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,66,Alcohol consumption: Moderate drinker,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,17,Fruit & vegetable consumption: 5 portions or more,Female
S12000028,South Ayrshire,2015-2018,Percent,Percent Of Adults,18,Self-assessed general health: Fair,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,58,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,6,Summary activity levels: Low activity,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,70,Alcohol consumption: Moderate drinker,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,59,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,81,E-cigarette use: Never used,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,73,Obesity: Not obese,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,11,Alcohol consumption: Non-drinker,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,22,General health questionnaire (GHQ-12): Score 1-3,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,5,Fruit & vegetable consumption: None,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,6,Summary activity levels: Low activity,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,62,Summary activity levels: Meets recommendations,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,53,Long-term illness: No long-term illness,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,19,Summary activity levels: Very low activity,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,16,General health questionnaire (GHQ-12): Score 4+,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,41,Overweight: Not overweight or obese,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,16,Summary activity levels: Some activity,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,33,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,82,E-cigarette use: Never used,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,7,E-cigarette use: Ever previously used,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,72,Alcohol consumption: Moderate drinker,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,27,Obesity: Obese,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,25,Fruit & vegetable consumption: 5 portions or more,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,62,General health questionnaire (GHQ-12): Score 0,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,25,Fruit & vegetable consumption: 5 portions or more,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,16,Smoking status: Current smoker,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,60,General health questionnaire (GHQ-12): Score 0,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,56,Long-term illness: No long-term illness,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,59,Overweight: Overweight (including obese),Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,82,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000023,Orkney Islands,2015-2018,Percent,Percent Of Adults,32,Obesity: Obese,Female
S12000023,Orkney Islands,2016-2019,Percent,Percent Of Adults,14,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000023,Orkney Islands,2016-2019,Percent,Percent Of Adults,9,Smoking status: Current smoker,Female
S12000023,Orkney Islands,2016-2019,Percent,Percent Of Adults,20,General health questionnaire (GHQ-12): Score 4+,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,10,E-cigarette use: Ever previously used,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,27,Long-term illness: Limiting long-term illness,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,40,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,9,E-cigarette use: Currently using,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,40,Overweight: Not overweight or obese,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,82,Doctor-diagnosed asthma: No,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,10,E-cigarette use: Currently using,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,25,Long-term illness: Limiting long-term illness,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,60,Overweight: Overweight (including obese),Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,26,Obesity: Obese,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,18,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,14,Smoking status: Current smoker,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,20,Doctor-diagnosed asthma: Yes,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,22,Alcohol consumption: Non-drinker,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,82,E-cigarette use: Never used,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,67,Alcohol consumption: Moderate drinker,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,29,Life satisfaction: Mode (8),Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,66,Overweight: Overweight (including obese),Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,10,E-cigarette use: Ever previously used,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,23,Smoking status: Used to smoke regularly,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,25,Summary activity levels: Very low activity,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,66,Alcohol consumption: Moderate drinker,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,16,Long-term illness: Non-limiting long-term illness,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,11,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,81,Doctor-diagnosed asthma: No,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,17,Summary activity levels: Very low activity,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,81,E-cigarette use: Never used,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,13,Summary activity levels: Some activity,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,67,Fruit & vegetable consumption: Less than 5 portions,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,62,Obesity: Not obese,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,11,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,26,Smoking status: Used to smoke regularly,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,18,General health questionnaire (GHQ-12): Score 4+,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,65,Obesity: Not obese,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,58,Summary activity levels: Meets recommendations,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,17,Fruit & vegetable consumption: 5 portions or more,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,14,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,14,Long-term illness: Non-limiting long-term illness,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,65,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,32,Obesity: Obese,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,28,General health questionnaire (GHQ-12): Score 1-3,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,15,General health questionnaire (GHQ-12): Score 4+,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,36,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,68,Overweight: Overweight (including obese),Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,66,Obesity: Not obese,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,8,E-cigarette use: Ever previously used,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,53,General health questionnaire (GHQ-12): Score 0,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,55,General health questionnaire (GHQ-12): Score 0,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,8,E-cigarette use: Ever previously used,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,25,General health questionnaire (GHQ-12): Score 1-3,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,60,Summary activity levels: Meets recommendations,Female
S12000027,Shetland Islands,2016-2019,Percent,Percent Of Adults,15,Long-term illness: Non-limiting long-term illness,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,68,Obesity: Not obese,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,38,Obesity: Obese,Female
S12000027,Shetland Islands,2015-2018,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,74,Obesity: Not obese,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,7,Self-assessed general health: Bad/Very bad,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,73,Self-assessed general health: Very good/Good,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,15,Summary activity levels: Some activity,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,18,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,18,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,12,Alcohol consumption: Non-drinker,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,18,Long-term illness: Non-limiting long-term illness,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,27,Life satisfaction: Mode (8),Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,69,Fruit & vegetable consumption: Less than 5 portions,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,56,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,74,Self-assessed general health: Very good/Good,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,22,Long-term illness: Non-limiting long-term illness,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,11,E-cigarette use: Ever previously used,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,Female
S12000047,Fife,2015-2018,Percent,Percent Of Adults,24,Fruit & vegetable consumption: 5 portions or more,Female
S12000047,Fife,2016-2019,Percent,Percent Of Adults,20,General health questionnaire (GHQ-12): Score 4+,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,6,Self-assessed general health: Bad/Very bad,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,16,General health questionnaire (GHQ-12): Score 4+,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000026,Scottish Borders,2015-2018,Percent,Percent Of Adults,59,Summary activity levels: Meets recommendations,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,24,General health questionnaire (GHQ-12): Score 1-3,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,82,Any cardiovascular condition: No cardiovascular condition,Female
S12000026,Scottish Borders,2016-2019,Percent,Percent Of Adults,18,Doctor-diagnosed asthma: Yes,Female
S12000034,Aberdeenshire,2016-2019,Percent,Percent Of Adults,18,Doctor-diagnosed asthma: Yes,Female
