FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,21.7,Long-term illness: Non-limiting long-term illness,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,10.6,Self-assessed general health: Bad/Very bad,Female
S12000027,2016-2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,14.5,General health questionnaire (GHQ-12): Score 4+,Female
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,4.3,Fruit & vegetable consumption: None,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.8,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000047,2016-2019,Percent,Percent Of Adults,69,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,19.8,Long-term illness: Non-limiting long-term illness,Female
S12000047,2015-2018,Percent,Percent Of Adults,17,General health questionnaire (GHQ-12): Score 4+,Female
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,14.3,Self-assessed general health: Fair,Female
S08000022,2015-2018,Percent,Percent Of Adults,8,E-cigarette use: Currently using,Female
S12000027,2016-2019,Percent,Percent Of Adults,65,Alcohol consumption: Moderate drinker,Female
S12000027,2016-2019,Percent,Percent Of Adults,52,Long-term illness: No long-term illness,Female
S12000047,2015-2018,95% Lower Confidence Limit,Units of alcohol,7.4,Alcohol consumption (mean weekly units),Female
S12000027,2015-2018,Percent,Percent Of Adults,24,Summary activity levels: Very low activity,Female
S12000047,2015-2018,95% Upper Confidence Limit,Units of alcohol,9.6,Alcohol consumption (mean weekly units),Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,15.4,Smoking status: Used to smoke regularly,Female
S12000027,2015-2018,Percent,Percent Of Adults,20,Smoking status: Used to smoke regularly,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,2.6,Self-assessed general health: Bad/Very bad,Female
S08000015,2016-2019,Percent,Percent Of Adults,30,Summary activity levels: Very low activity,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,33.1,Summary activity levels: Very low activity,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,8.2,Self-assessed general health: Bad/Very bad,Female
S12000047,2016-2019,Percent,Percent Of Adults,58,Summary activity levels: Meets recommendations,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,33.4,Life satisfaction: Mode (8),Female
S12000027,2015-2018,Percent,Percent Of Adults,64,Alcohol consumption: Moderate drinker,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,47.1,Life satisfaction: Mode (8),Female
S12000027,2015-2018,Percent,Percent Of Adults,6,Self-assessed general health: Bad/Very bad,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,16.8,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,26,Smoking status: Used to smoke regularly,Female
S12000027,2015-2018,Percent,Percent Of Adults,14,Summary activity levels: Some activity,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,41.8,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.7,Summary activity levels: Very low activity,Female
S12000027,2016-2019,Percent,Percent Of Adults,40,Life satisfaction: Mode (8),Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,22.7,Doctor-diagnosed asthma: Yes,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.2,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29.4,Life satisfaction: Mode (8),Female
S12000027,2016-2019,Mean,WEMWBS Score,50.9,Mental wellbeing,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,3.4,Summary activity levels: Low activity,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,92.2,E-cigarette use: Never used,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,45.8,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,32.6,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000027,2016-2019,95% Lower Confidence Limit,WEMWBS Score,49.8,Mental wellbeing,Female
S08000022,2015-2018,Percent,Percent Of Adults,18,Long-term illness: Non-limiting long-term illness,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,43.6,Long-term illness: Limiting long-term illness,Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,25.7,General health questionnaire (GHQ-12): Score 1-3,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,32.5,General health questionnaire (GHQ-12): Score 1-3,Female
S08000015,2015-2018,95% Lower Confidence Limit,Percent Of Adults,6.9,E-cigarette use: Currently using,Female
S08000022,2016-2019,95% Lower Confidence Limit,Percent Of Adults,54.5,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,37,Long-term illness: Limiting long-term illness,Female
S12000047,2016-2019,95% Lower Confidence Limit,WEMWBS Score,48.7,Mental wellbeing,Female
S12000027,2016-2019,95% Upper Confidence Limit,WEMWBS Score,52.1,Mental wellbeing,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,83.8,E-cigarette use: Never used,Female
S12000027,2016-2019,Percent,Percent Of Adults,88,E-cigarette use: Never used,Female
S12000027,2015-2018,Percent,Percent Of Adults,32,Overweight: Not overweight or obese,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,6.4,E-cigarette use: Currently using,Female
S12000047,2016-2019,Percent,Percent Of Adults,9,E-cigarette use: Currently using,Female
S12000047,2016-2019,95% Upper Confidence Limit,WEMWBS Score,49.9,Mental wellbeing,Female
S12000047,2016-2019,Mean,WEMWBS Score,49.3,Mental wellbeing,Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,22.9,Life satisfaction: Mode (8),Female
S12000027,2015-2018,Mean,Portions of fruit & vegetables,3.1,Fruit & vegetable consumption (mean daily portions),Female
S12000027,2016-2019,Percent,Percent Of Adults,34,Overweight: Not overweight or obese,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,42.3,Overweight: Not overweight or obese,Female
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,14.4,Long-term illness: Non-limiting long-term illness,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,74.2,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,1.7,Summary activity levels: Low activity,Female
S08000015,2015-2018,Percent,Percent Of Adults,55,Summary activity levels: Meets recommendations,Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,12.1,Self-assessed general health: Bad/Very bad,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,6.7,Summary activity levels: Low activity,Female
S12000047,2015-2018,Percent,Percent Of Adults,58,Summary activity levels: Meets recommendations,Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,34.6,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S08000015,2015-2018,95% Lower Confidence Limit,Percent Of Adults,51.7,Summary activity levels: Meets recommendations,Female
S12000047,2016-2019,95% Lower Confidence Limit,Units of alcohol,7.7,Alcohol consumption (mean weekly units),Female
S12000027,2015-2018,Percent,Percent Of Adults,89,Any cardiovascular condition: No cardiovascular condition,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,85.3,Any cardiovascular condition: No cardiovascular condition,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,55.3,Summary activity levels: Meets recommendations,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,57.4,Alcohol consumption: Moderate drinker,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,19.7,General health questionnaire (GHQ-12): Score 4+,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,11.9,E-cigarette use: Currently using,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,70.3,Alcohol consumption: Moderate drinker,Female
S12000027,2016-2019,Percent,Percent Of Adults,26,General health questionnaire (GHQ-12): Score 1-3,Female
S08000022,2016-2019,95% Lower Confidence Limit,Percent Of Adults,77.9,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000047,2015-2018,Percent,Percent Of Adults,15,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.7,Summary activity levels: Very low activity,Female
S08000022,2015-2018,Percent,Percent Of Adults,83,Any cardiovascular condition: No cardiovascular condition,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.1,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,61.6,Summary activity levels: Meets recommendations,Female
S12000027,2016-2019,Percent,Percent Of Adults,4,Summary activity levels: Low activity,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,58.5,Summary activity levels: Meets recommendations,Female
S08000015,2016-2019,95% Lower Confidence Limit,WEMWBS Score,48.2,Mental wellbeing,Female
S12000027,2015-2018,Percent,Percent Of Adults,76,Fruit & vegetable consumption: Less than 5 portions,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.6,Self-assessed general health: Fair,Female
S08000028,2015-2018,Percent,Percent Of Adults,35,Long-term illness: Limiting long-term illness,Female
S08000015,2016-2019,Mean,WEMWBS Score,48.9,Mental wellbeing,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,19.8,General health questionnaire (GHQ-12): Score 1-3,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,85.4,E-cigarette use: Never used,Female
S08000028,2016-2019,95% Upper Confidence Limit,Percent Of Adults,5.8,E-cigarette use: Currently using,Female
S08000022,2015-2018,Percent,Percent Of Adults,22,Summary activity levels: Very low activity,Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.2,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,70.4,Fruit & vegetable consumption: Less than 5 portions,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,22.6,Self-assessed general health: Fair,Female
S08000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,78.8,Fruit & vegetable consumption: Less than 5 portions,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,19.8,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,2015-2018,95% Lower Confidence Limit,Portions of fruit & vegetables,2.8,Fruit & vegetable consumption (mean daily portions),Female
S08000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,35.1,Alcohol consumption: Non-drinker,Female
S08000022,2016-2019,95% Lower Confidence Limit,Percent Of Adults,80.1,Any cardiovascular condition: No cardiovascular condition,Female
S08000028,2015-2018,95% Lower Confidence Limit,Percent Of Adults,23.7,Alcohol consumption: Non-drinker,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,22.9,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,25.6,Self-assessed general health: Fair,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,24.6,Overweight: Not overweight or obese,Female
S08000028,2015-2018,Percent,Percent Of Adults,90,E-cigarette use: Never used,Female
S12000027,2015-2018,95% Upper Confidence Limit,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),Female
S08000015,2015-2018,Percent,Percent Of Adults,20,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,23.1,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,81.4,Fruit & vegetable consumption: Less than 5 portions,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,94.6,E-cigarette use: Never used,Female
S08000028,2015-2018,95% Lower Confidence Limit,Percent Of Adults,9.6,Smoking status: Current smoker,Female
S12000028,2015-2018,Percent,Percent Of Adults,72,Self-assessed general health: Very good/Good,Female
S08000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,18.4,Smoking status: Current smoker,Female
S12000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,77.2,Self-assessed general health: Very good/Good,Female
S08000028,2015-2018,Percent,Percent Of Adults,14,Smoking status: Current smoker,Female
S12000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,20.9,Smoking status: Current smoker,Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,63.5,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000028,2015-2018,Percent,Percent Of Adults,80,Any cardiovascular condition: No cardiovascular condition,Female
S12000028,2015-2018,95% Lower Confidence Limit,Percent Of Adults,66,Self-assessed general health: Very good/Good,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,14.7,E-cigarette use: Ever previously used,Female
S08000028,2015-2018,95% Upper Confidence Limit,Units of alcohol,7.7,Alcohol consumption (mean weekly units),Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,49.1,Long-term illness: No long-term illness,Female
S12000028,2015-2018,Percent,Percent Of Adults,24,Smoking status: Used to smoke regularly,Female
S08000015,2016-2019,Percent,Percent Of Adults,17,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,2016-2019,Percent,Percent Of Adults,20,Self-assessed general health: Fair,Female
S08000028,2016-2019,Percent,Percent Of Adults,68,Self-assessed general health: Very good/Good,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,36,Overweight: Not overweight or obese,Female
S08000028,2015-2018,Percent,Percent Of Adults,73,Fruit & vegetable consumption: Less than 5 portions,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,25.9,Overweight: Not overweight or obese,Female
S08000028,2015-2018,95% Lower Confidence Limit,Percent Of Adults,67.2,Fruit & vegetable consumption: Less than 5 portions,Female
S08000028,2016-2019,95% Lower Confidence Limit,Percent Of Adults,0.7,E-cigarette use: Currently using,Female
S08000015,2016-2019,95% Upper Confidence Limit,WEMWBS Score,49.6,Mental wellbeing,Female
S08000028,2016-2019,Percent,Percent Of Adults,9,E-cigarette use: Ever previously used,Female
S08000028,2016-2019,Percent,Percent Of Adults,3,E-cigarette use: Currently using,Female
S08000028,2016-2019,95% Lower Confidence Limit,Percent Of Adults,61.5,Self-assessed general health: Very good/Good,Female
S12000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,66.1,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,6.2,E-cigarette use: Currently using,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,21,Summary activity levels: Very low activity,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,9.9,Self-assessed general health: Bad/Very bad,Female
S08000022,2015-2018,95% Lower Confidence Limit,Percent Of Adults,20.5,Fruit & vegetable consumption: 5 portions or more,Female
S12000027,2015-2018,Percent,Percent Of Adults,18,Self-assessed general health: Fair,Female
S12000047,2015-2018,Percent,Percent Of Adults,24,Summary activity levels: Very low activity,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,12.5,Self-assessed general health: Fair,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,9.2,General health questionnaire (GHQ-12): Score 4+,Female
S12000047,2016-2019,Percent,Percent Of Adults,10,Self-assessed general health: Bad/Very bad,Female
S08000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,94.8,E-cigarette use: Never used,Female
S12000047,2015-2018,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,Female
S12000027,2015-2018,95% Lower Confidence Limit,WEMWBS Score,49.5,Mental wellbeing,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,25.3,Smoking status: Used to smoke regularly,Female
S08000022,2015-2018,95% Upper Confidence Limit,Percent Of Adults,28.7,Fruit & vegetable consumption: 5 portions or more,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,68.5,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,59.1,Long-term illness: No long-term illness,Female
S08000022,2016-2019,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,Female
S12000047,2015-2018,Percent,Percent Of Adults,71,Self-assessed general health: Very good/Good,Female
S12000047,2016-2019,Mean,Units of alcohol,8.9,Alcohol consumption (mean weekly units),Female
S08000022,2016-2019,95% Upper Confidence Limit,Percent Of Adults,87.3,Any cardiovascular condition: No cardiovascular condition,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,45.5,Long-term illness: No long-term illness,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,58.4,Alcohol consumption: Moderate drinker,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,65.4,Self-assessed general health: Very good/Good,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,32.8,Summary activity levels: Very low activity,Female
S12000047,2016-2019,Percent,Percent Of Adults,14,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,17.6,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000047,2016-2019,95% Upper Confidence Limit,Units of alcohol,10.1,Alcohol consumption (mean weekly units),Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,7.5,E-cigarette use: Currently using,Female
S08000028,2016-2019,Percent,Percent Of Adults,8,Alcohol consumption: Hazardous/Harmful drinker,Female
S08000015,2015-2018,95% Lower Confidence Limit,Percent Of Adults,17.7,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000022,2015-2018,Percent,Percent Of Adults,25,Fruit & vegetable consumption: 5 portions or more,Female
S12000027,2015-2018,95% Upper Confidence Limit,WEMWBS Score,51.8,Mental wellbeing,Female
S08000028,2016-2019,95% Lower Confidence Limit,Percent Of Adults,4.6,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,1.4,E-cigarette use: Currently using,Female
S12000027,2015-2018,Percent,Percent Of Adults,90,E-cigarette use: Never used,Female
S08000028,2015-2018,Percent,Percent Of Adults,9,Alcohol consumption: Hazardous/Harmful drinker,Female
S08000028,2016-2019,95% Lower Confidence Limit,Percent Of Adults,3.9,Self-assessed general health: Bad/Very bad,Female
S08000015,2016-2019,95% Lower Confidence Limit,Percent Of Adults,17.2,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000028,2016-2019,95% Upper Confidence Limit,Percent Of Adults,12.4,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,40.4,Overweight: Not overweight or obese,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,3.8,E-cigarette use: Currently using,Female
S08000028,2015-2018,Percent,Percent Of Adults,24,Self-assessed general health: Fair,Female
S08000028,2015-2018,95% Upper Confidence Limit,Percent Of Adults,29.4,Self-assessed general health: Fair,Female
S08000028,2015-2018,Percent,Percent Of Adults,29,Alcohol consumption: Non-drinker,Female
S12000027,2016-2019,Percent,Percent Of Adults,21,Smoking status: Used to smoke regularly,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,9.2,Summary activity levels: Some activity,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,71.7,Alcohol consumption: Moderate drinker,Female
S08000022,2016-2019,95% Lower Confidence Limit,Percent Of Adults,7.3,Summary activity levels: Some activity,Female
S08000015,2016-2019,Percent,Percent Of Adults,10,E-cigarette use: Currently using,Female
S12000027,2015-2018,Percent,Percent Of Adults,52,Long-term illness: No long-term illness,Female
S12000027,2015-2018,Percent,Percent Of Adults,2,E-cigarette use: Currently using,Female
S08000028,2015-2018,95% Lower Confidence Limit,Percent Of Adults,18.4,Self-assessed general health: Fair,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,0,E-cigarette use: Currently using,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,15,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000047,2016-2019,Percent,Percent Of Adults,18,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.5,Doctor-diagnosed asthma: Yes,Female
S12000047,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,20.1,Alcohol consumption: Hazardous/Harmful drinker,Female
S08000020,2016-2019,95% Lower Confidence Limit,Percent Of Adults,56.6,Long-term illness: No long-term illness,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,24.5,Doctor-diagnosed asthma: Yes,Female
S08000015,2016-2019,Percent,Percent Of Adults,69,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,89.8,"Provide any regular help or care for any sick, disabled or frail person: No",Female
S12000047,2016-2019,Percent,Percent Of Adults,9,Fruit & vegetable consumption: None,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,82,Self-assessed general health: Very good/Good,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,11.1,Fruit & vegetable consumption: None,Female
S12000027,2016-2019,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female
S08000015,2015-2018,Percent,Percent Of Adults,23,Alcohol consumption: Non-drinker,Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,29.4,Overweight: Not overweight or obese,Female
S12000027,2016-2019,Percent,Percent Of Adults,15,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,20,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,2016-2019,Percent,Percent Of Adults,21,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000047,2015-2018,95% Upper Confidence Limit,Percent Of Adults,18,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29.8,Alcohol consumption: Non-drinker,Female
S12000047,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.3,Alcohol consumption: Hazardous/Harmful drinker,Female
S08000015,2016-2019,95% Upper Confidence Limit,Percent Of Adults,27.3,Alcohol consumption: Non-drinker,Female
S12000027,2015-2018,Percent,Percent Of Adults,14,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,36.7,Overweight: Not overweight or obese,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,10.2,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female
S12000027,2016-2019,95% Lower Confidence Limit,Units of alcohol,5.9,Alcohol consumption (mean weekly units),Female
S08000020,2015-2018,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,38.8,Long-term illness: Limiting long-term illness,Female
S12000027,2015-2018,95% Lower Confidence Limit,Percent Of Adults,45.2,Long-term illness: No long-term illness,Female
S08000020,2016-2019,95% Lower Confidence Limit,Percent Of Adults,58.5,Overweight: Overweight (including obese),Female
S08000015,2015-2018,95% Lower Confidence Limit,Percent Of Adults,19.8,Alcohol consumption: Non-drinker,Female
S12000027,2015-2018,95% Upper Confidence Limit,Percent Of Adults,58.3,Long-term illness: No long-term illness,Female
S12000027,2016-2019,Percent,Percent Of Adults,86,Any cardiovascular condition: No cardiovascular condition,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,25.7,Alcohol consumption: Non-drinker,Female
S12000047,2016-2019,Percent,Percent Of Adults,18,Smoking status: Current smoker,Female
S12000027,2016-2019,Percent,Percent Of Adults,15,Fruit & vegetable consumption: 5 portions or more,Female
S08000015,2015-2018,95% Upper Confidence Limit,Percent Of Adults,29.3,General health questionnaire (GHQ-12): Score 1-3,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,90.5,Any cardiovascular condition: No cardiovascular condition,Female
S08000020,2016-2019,Percent,Percent Of Adults,77,Self-assessed general health: Very good/Good,Female
S12000047,2016-2019,95% Upper Confidence Limit,Percent Of Adults,20.8,Smoking status: Current smoker,Female
S12000027,2015-2018,Percent,Percent Of Adults,76,Self-assessed general health: Very good/Good,Female
S12000027,2016-2019,95% Upper Confidence Limit,Percent Of Adults,19.8,Fruit & vegetable consumption: 5 portions or more,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,26.5,Long-term illness: Limiting long-term illness,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,81.9,Any cardiovascular condition: No cardiovascular condition,Female
S08000020,2016-2019,95% Upper Confidence Limit,Percent Of Adults,65.1,Overweight: Overweight (including obese),Female
S12000047,2016-2019,95% Lower Confidence Limit,Percent Of Adults,6.7,Fruit & vegetable consumption: None,Female
S12000027,2016-2019,95% Lower Confidence Limit,Percent Of Adults,10.7,Fruit & vegetable consumption: 5 portions or more,Female
