"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Alcohol problem drinking, males","South Lanarkshire","S12000029","Council area",2014,"4-year aggregate (2012 - 2015)",NA,23.22,18.08,29.31,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Aberdeen City","S12000033","Council area",2014,"4-year aggregate (2012 - 2015)",NA,28.95,23.82,34.68,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Aberdeenshire","S12000034","Council area",2014,"4-year aggregate (2012 - 2015)",NA,17.14,13.68,21.25,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","City of Edinburgh","S12000036","Council area",2014,"4-year aggregate (2012 - 2015)",NA,26.87,21.9,32.49,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","North Lanarkshire","S12000050","Council area",2014,"4-year aggregate (2012 - 2015)",NA,25.1,20.43,30.43,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Glasgow City","S12000049","Council area",2014,"4-year aggregate (2012 - 2015)",NA,31.28,26.69,36.28,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Scotland","S00000001","Scotland",2015,"4-year aggregate (2013 - 2016)",NA,24.07,22.75,25.43,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Dumfries & Galloway","S12000006","Council area",2015,"4-year aggregate (2013 - 2016)",NA,25.38,17.87,34.71,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","East Ayrshire","S12000008","Council area",2015,"4-year aggregate (2013 - 2016)",NA,25.75,21.21,30.87,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Na h-Eileanan Siar","S12000013","Council area",2015,"4-year aggregate (2013 - 2016)",NA,18.74,14.47,23.91,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Fife","S12000047","Council area",2015,"4-year aggregate (2013 - 2016)",NA,23.2,19.5,27.38,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Highland","S12000017","Council area",2015,"4-year aggregate (2013 - 2016)",NA,21.83,16.33,28.57,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","North Ayrshire","S12000021","Council area",2015,"4-year aggregate (2013 - 2016)",NA,26.65,20.47,33.89,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Orkney Islands","S12000023","Council area",2015,"4-year aggregate (2013 - 2016)",NA,27.1,21.51,33.51,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Scottish Borders","S12000026","Council area",2015,"4-year aggregate (2013 - 2016)",NA,16.8,12.85,21.67,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Shetland Islands","S12000027","Council area",2015,"4-year aggregate (2013 - 2016)",NA,27.77,21.33,35.28,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","South Ayrshire","S12000028","Council area",2015,"4-year aggregate (2013 - 2016)",NA,18.74,14.63,23.68,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","South Lanarkshire","S12000029","Council area",2015,"4-year aggregate (2013 - 2016)",NA,23.53,18.44,29.52,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Aberdeen City","S12000033","Council area",2015,"4-year aggregate (2013 - 2016)",NA,28.18,22.55,34.58,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Aberdeenshire","S12000034","Council area",2015,"4-year aggregate (2013 - 2016)",NA,17.29,13.71,21.58,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","City of Edinburgh","S12000036","Council area",2015,"4-year aggregate (2013 - 2016)",NA,29.15,23.87,35.07,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","North Lanarkshire","S12000050","Council area",2015,"4-year aggregate (2013 - 2016)",NA,22.22,17.51,27.77,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Glasgow City","S12000049","Council area",2015,"4-year aggregate (2013 - 2016)",NA,30.07,25.77,34.74,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Scotland","S00000001","Scotland",2016,"4-year aggregate (2014 - 2017)",NA,24.11,22.71,25.57,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","East Ayrshire","S12000008","Council area",2016,"4-year aggregate (2014 - 2017)",NA,25.25,19.81,31.6,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Na h-Eileanan Siar","S12000013","Council area",2016,"4-year aggregate (2014 - 2017)",NA,17.42,12.54,23.69,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Fife","S12000047","Council area",2016,"4-year aggregate (2014 - 2017)",NA,19.68,16.53,23.27,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Highland","S12000017","Council area",2016,"4-year aggregate (2014 - 2017)",NA,16.28,11.56,22.43,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","North Ayrshire","S12000021","Council area",2016,"4-year aggregate (2014 - 2017)",NA,29.44,22.92,36.93,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Orkney Islands","S12000023","Council area",2016,"4-year aggregate (2014 - 2017)",NA,25.71,20.23,32.08,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Shetland Islands","S12000027","Council area",2016,"4-year aggregate (2014 - 2017)",NA,24.33,18.37,31.48,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","South Ayrshire","S12000028","Council area",2016,"4-year aggregate (2014 - 2017)",NA,19.4,14.9,24.86,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","South Lanarkshire","S12000029","Council area",2016,"4-year aggregate (2014 - 2017)",NA,22.86,17.38,29.46,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Aberdeen City","S12000033","Council area",2016,"4-year aggregate (2014 - 2017)",NA,30.88,25.02,37.42,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Aberdeenshire","S12000034","Council area",2016,"4-year aggregate (2014 - 2017)",NA,17.23,13.44,21.81,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","City of Edinburgh","S12000036","Council area",2016,"4-year aggregate (2014 - 2017)",NA,32.31,26.32,38.94,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","North Lanarkshire","S12000050","Council area",2016,"4-year aggregate (2014 - 2017)",NA,27.23,21.41,33.96,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, males","Glasgow City","S12000049","Council area",2016,"4-year aggregate (2014 - 2017)",NA,30.37,26.1,34.99,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Scotland","S00000001","Scotland",2014,"4-year aggregate (2012 - 2015)",NA,11.56,10.73,12.44,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Dumfries & Galloway","S12000006","Council area",2014,"4-year aggregate (2012 - 2015)",NA,10.17,6.94,14.68,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","East Ayrshire","S12000008","Council area",2014,"4-year aggregate (2012 - 2015)",NA,10.4,7.01,15.14,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Na h-Eileanan Siar","S12000013","Council area",2014,"4-year aggregate (2012 - 2015)",NA,5.33,3.36,8.36,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Fife","S12000047","Council area",2014,"4-year aggregate (2012 - 2015)",NA,10.14,8.18,12.5,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Highland","S12000017","Council area",2014,"4-year aggregate (2012 - 2015)",NA,8.2,5.78,11.51,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","North Ayrshire","S12000021","Council area",2014,"4-year aggregate (2012 - 2015)",NA,9.59,6.69,13.55,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Orkney Islands","S12000023","Council area",2014,"4-year aggregate (2012 - 2015)",NA,10.42,6.65,15.96,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Scottish Borders","S12000026","Council area",2014,"4-year aggregate (2012 - 2015)",NA,7.81,4.92,12.16,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Shetland Islands","S12000027","Council area",2014,"4-year aggregate (2012 - 2015)",NA,13.2,9.08,18.81,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","South Ayrshire","S12000028","Council area",2014,"4-year aggregate (2012 - 2015)",NA,8.99,5.98,13.31,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","South Lanarkshire","S12000029","Council area",2014,"4-year aggregate (2012 - 2015)",NA,8.88,6.37,12.24,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Aberdeen City","S12000033","Council area",2014,"4-year aggregate (2012 - 2015)",NA,13.41,9.99,17.76,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Aberdeenshire","S12000034","Council area",2014,"4-year aggregate (2012 - 2015)",NA,9.36,7.04,12.35,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","City of Edinburgh","S12000036","Council area",2014,"4-year aggregate (2012 - 2015)",NA,13.29,10.3,16.98,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","North Lanarkshire","S12000050","Council area",2014,"4-year aggregate (2012 - 2015)",NA,14.14,9.67,20.22,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Glasgow City","S12000049","Council area",2014,"4-year aggregate (2012 - 2015)",NA,17.02,14.38,20.02,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Scotland","S00000001","Scotland",2015,"4-year aggregate (2013 - 2016)",NA,11.58,10.71,12.51,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Dumfries & Galloway","S12000006","Council area",2015,"4-year aggregate (2013 - 2016)",NA,10.16,6.63,15.26,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","East Ayrshire","S12000008","Council area",2015,"4-year aggregate (2013 - 2016)",NA,11.42,8.08,15.9,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Na h-Eileanan Siar","S12000013","Council area",2015,"4-year aggregate (2013 - 2016)",NA,5,3,8.22,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Fife","S12000047","Council area",2015,"4-year aggregate (2013 - 2016)",NA,9.07,7.26,11.28,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Highland","S12000017","Council area",2015,"4-year aggregate (2013 - 2016)",NA,8.66,5.68,12.99,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","North Ayrshire","S12000021","Council area",2015,"4-year aggregate (2013 - 2016)",NA,10.72,7.94,14.33,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Orkney Islands","S12000023","Council area",2015,"4-year aggregate (2013 - 2016)",NA,8.64,5.62,13.06,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Scottish Borders","S12000026","Council area",2015,"4-year aggregate (2013 - 2016)",NA,7.57,4.69,11.99,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Shetland Islands","S12000027","Council area",2015,"4-year aggregate (2013 - 2016)",NA,12.84,8.3,19.33,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","South Ayrshire","S12000028","Council area",2015,"4-year aggregate (2013 - 2016)",NA,8.13,5.89,11.1,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","South Lanarkshire","S12000029","Council area",2015,"4-year aggregate (2013 - 2016)",NA,10.24,7.64,13.6,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Aberdeen City","S12000033","Council area",2015,"4-year aggregate (2013 - 2016)",NA,14.17,10.56,18.74,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Aberdeenshire","S12000034","Council area",2015,"4-year aggregate (2013 - 2016)",NA,9.28,6.82,12.51,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","City of Edinburgh","S12000036","Council area",2015,"4-year aggregate (2013 - 2016)",NA,15.02,11.16,19.93,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","North Lanarkshire","S12000050","Council area",2015,"4-year aggregate (2013 - 2016)",NA,12.86,8.83,18.36,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Glasgow City","S12000049","Council area",2015,"4-year aggregate (2013 - 2016)",NA,17.83,14.86,21.25,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Scotland","S00000001","Scotland",2016,"4-year aggregate (2014 - 2017)",NA,11.72,10.81,12.7,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","East Ayrshire","S12000008","Council area",2016,"4-year aggregate (2014 - 2017)",NA,11.68,8.06,16.65,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Na h-Eileanan Siar","S12000013","Council area",2016,"4-year aggregate (2014 - 2017)",NA,5.5,2.63,11.13,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Fife","S12000047","Council area",2016,"4-year aggregate (2014 - 2017)",NA,10.49,8.56,12.8,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Highland","S12000017","Council area",2016,"4-year aggregate (2014 - 2017)",NA,7.24,4.4,11.69,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","North Ayrshire","S12000021","Council area",2016,"4-year aggregate (2014 - 2017)",NA,11.49,8.32,15.65,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Orkney Islands","S12000023","Council area",2016,"4-year aggregate (2014 - 2017)",NA,6.83,4.12,11.1,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Shetland Islands","S12000027","Council area",2016,"4-year aggregate (2014 - 2017)",NA,11.72,7.48,17.9,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","South Ayrshire","S12000028","Council area",2016,"4-year aggregate (2014 - 2017)",NA,8.72,6.19,12.14,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","South Lanarkshire","S12000029","Council area",2016,"4-year aggregate (2014 - 2017)",NA,9.92,7.2,13.51,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Aberdeen City","S12000033","Council area",2016,"4-year aggregate (2014 - 2017)",NA,14.7,11.12,19.19,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Aberdeenshire","S12000034","Council area",2016,"4-year aggregate (2014 - 2017)",NA,8.67,6.26,11.89,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","City of Edinburgh","S12000036","Council area",2016,"4-year aggregate (2014 - 2017)",NA,13.53,9.54,18.83,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","North Lanarkshire","S12000050","Council area",2016,"4-year aggregate (2014 - 2017)",NA,14.63,10.42,20.16,"Percentage","Scottish Health Survey"
"Alcohol problem drinking, females","Glasgow City","S12000049","Council area",2016,"4-year aggregate (2014 - 2017)",NA,19.61,16.35,23.33,"Percentage","Scottish Health Survey"
"Alcohol-specific deaths, females","Scotland","S00000001","Scotland",2014,"2012 to 2016 calendar years; 5-year aggregates",318,11.48,10.25,12.81,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Ayrshire & Arran","S08000015","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",23.6,11.36,7.22,17,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Borders","S08000016","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",4.8,7.13,2.22,16.93,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Dumfries & Galloway","S08000017","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",7,8.33,3.25,17.32,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Forth Valley","S08000019","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",15.6,9.75,5.52,15.94,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Grampian","S08000020","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",22.4,7.69,4.84,11.61,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Highland","S08000022","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",16.6,9.26,5.32,14.97,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Lothian","S08000024","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",42.6,10.35,7.46,13.98,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Orkney","S08000025","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",1.8,15.52,1.31,59.87,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Shetland","S08000026","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",0,0,0,0,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Western Isles","S08000028","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",3.2,21.19,4.51,60.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Fife","S08000029","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",20.4,10.56,6.47,16.26,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Tayside","S08000030","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",24.8,11.45,7.38,16.96,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Greater Glasgow & Clyde","S08000031","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",80.6,14.01,11.11,17.44,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","NHS Lanarkshire","S08000032","Health board",2014,"2012 to 2016 calendar years; 5-year aggregates",54.6,15.62,11.75,20.37,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeen City","S11000001","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",12.2,11.86,6.14,20.65,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Aberdeenshire","S11000002","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",6.6,4.81,1.85,10.14,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Angus","S11000003","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",6,9.29,3.35,20.3,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Argyll & Bute","S11000004","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",4.8,9.3,2.79,22.28,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Clackmannanshire","S11000005","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",3.4,12.27,2.8,33.84,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dumfries & Galloway","S11000006","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",7,8.33,3.25,17.32,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dundee City","S11000007","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",10.8,15.28,7.53,27.54,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Ayrshire","S11000008","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",7,10.59,4.22,21.85,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Dunbartonshire","S11000009","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",2.4,3.79,0.56,12.42,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Renfrewshire","S11000011","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",4.6,9,2.71,21.74,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Edinburgh, City of","S11000012","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",24.2,11.12,7.11,16.56,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Falkirk","S11000013","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",8,9.52,4.09,18.79,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Fife","S11000014","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",20.4,10.56,6.47,16.26,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Glasgow City","S11000015","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",45.4,16.27,11.84,21.8,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Highland","S11000016","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",11.8,9.2,4.69,16.2,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Inverclyde","S11000017","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",7.4,16.97,6.95,34.41,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Moray","S11000019","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",3.6,6.91,1.68,18.57,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","North Ayrshire","S11000020","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",10.6,13.67,6.68,24.77,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Orkney Islands","S11000022","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",1.8,15.52,1.31,59.87,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Perth & Kinross","S11000023","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",8,9.9,4.21,19.6,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Renfrewshire","S11000024","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",13.2,14.18,7.56,24.2,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Scottish Borders","S11000025","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",4.8,7.13,2.22,16.93,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Shetland Islands","S11000026","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",0,0,0,0,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","South Ayrshire","S11000027","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",6,9.65,3.42,21.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Stirling","S11000029","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",4.2,8.73,2.44,21.9,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Dunbartonshire","S11000030","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",7.6,15.65,6.52,31.44,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","West Lothian","S11000031","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",9.6,10.51,4.9,19.63,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Na h-Eileanan Siar","S11000032","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",3.2,21.19,4.51,60.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Mid & East Lothian","S11000051","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",8.8,8.75,3.94,16.75,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Lanarkshire","S11000052","Alcohol & drug partnership",2014,"2012 to 2016 calendar years; 5-year aggregates",54.6,15.62,11.75,20.37,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Clackmannanshire","S12000005","Council area",2014,"2012 to 2016 calendar years; 5-year aggregates",3.4,12.27,2.8,33.84,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Dumfries & Galloway","S12000006","Council area",2014,"2012 to 2016 calendar years; 5-year aggregates",7,8.33,3.25,17.32,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Ayrshire","S12000008","Council area",2014,"2012 to 2016 calendar years; 5-year aggregates",7,10.59,4.22,21.85,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Lothian","S12000010","Council area",2014,"2012 to 2016 calendar years; 5-year aggregates",4.2,7.51,2.09,18.86,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","East Renfrewshire","S12000011","Council area",2014,"2012 to 2016 calendar years; 5-year aggregates",4.6,9,2.71,21.74,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
"Alcohol-specific deaths, females","Na h-Eileanan Siar","S12000013","Council area",2014,"2012 to 2016 calendar years; 5-year aggregates",3.2,21.19,4.51,60.19,"Age-sex standardised rate per 100,000","National Records of Scotland (NRS)"
